ProductCat,ProductName,ProductDestription,Price,Quantity,PictureURL,PlatForm,Genre
GAMES,Battlefield 4,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Battlefield 4 is a seminal moment for the Battlefield series as more award-winning, multiplayer game design elements are incorporated into the single-player campaign. In single-player, gamers will experience huge environments, a playground of destruction, access to an arsenal of vehicles and the ability to direct squad mates. Taking a page from the social aspect of multiplayer gaming, the single-player mode will now track players? progress, adding an element of persistence and friendly competition to the campaign. ",142,100,themes/images/products/11.jpg,PC,MMORPG
GAMES,Battlefield Hardline,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Live out your cop and criminal fantasy in Battlefield Hardline. This action-packed blockbuster combines intense signature multiplayer moments of Battlefield with an emotionally charged story and setting reminiscent of a modern television crime drama. In a visceral single-player campaign you’ll play the role of Nick Mendoza, a young detective who embarks on a cross-country vendetta, seeking revenge against once trusted partners on the force. In multiplayer you’ll hunt criminals, raid vaults, and save hostages in new cop and criminal inspired modes like Heist and Rescue. 

Purchase Battlefield Hardline to receive 3 Gold Battlepacks that contain combinations of weapon accessories, patches and emblems, XP boosts, and character customization items. These Battlepacks are delivered once a week starting from your initial game activation.

Features:

- Battlefield Multiplayer: Featuring the strategic team play, variety, and immersion of Battlefield, set in a gritty and glamorous world of cops and criminals.

- Visceral Singleplayer: From the award-winning studio that brought you Dead Space, Battlefield Hardline delivers an innovative and dramatic story presented in the style of a modern television crime drama.

- Downtown Destruction: Shoot out the inside of a subterranean grow-lab, blow open a gleaming bank vault, or blast apart a Los Angeles car dealership. The wide array of urban environments is modern, sexy, and highly destructible.

- Gadgets And Guns: Play with a full arsenal of military-grade weapons and fictionally inspired gadgets, such as sawed-off shotguns, stun guns, zip lines and grappling hooks. Gadgets can be used anywhere, on every map, making for chaotic and unpredictable combat.

- Vehicular Mayhem: Fly across the map to reinforce your crew, turn enemies into fresh road kill, or blow past cops on a loot-laden motorcycle. Vehicle gameplay in Battlefield Hardline is fast, fresh and intense.",359,100,themes/images/products/12.jpg,PS4,MMORPG
GAMES,Exclusive: Assassin's Creed,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

The first game in the Assassin’s Creed franchise is set in 1191 AD, when the Third Crusade was tearing the Holy Land apart. Shrouded in secrecy and feared for their ruthlessness, the Assassins intend to stop the hostilities by suppressing both sides of the conflict. Players, assuming the role of the main character Altair, will have the power to throw their immediate environment into chaos and to shape events during this pivotal moment in history.

Features:

-Be an Assassin Master the skills, tactics, and weapons of history’s deadliest and most secretive clan of warriors. Plan your attacks, strike without mercy, and fight your way to escape.

- Realistic and responsive environments Experience a living, breathing world in which all your actions have consequences. Crowds react to your moves and will either help or hinder you on your quests.

- Action with a new dimension, total freedom Eliminate your targets wherever, whenever, and however. Stalk your prey through richly detailed, historically accurate, open-ended environments. Scale buildings, mount horses, blend in with crowds. Do whatever it takes to achieve your objectives.

- Relive the epic times of the Crusades Assassin’s Creed immerses you in the realistic and historical Holy Land of the 12th century, featuring life-like graphics, ambiance, and the subtle, yet detailed nuances of a living world.

- Intense action rooted in reality Experience heavy action blended with fluid and precise animations. Use a wide range of medieval weapons, and face your enemies in realistic sword fight duels.

- Next-gen gameplay The proprietary engine developed from the ground up for the next-gen console allows organic game design featuring open gameplay, intuitive control scheme, realistic interaction with environment, and a fluid, yet sharp, combat mechanic.",99,100,themes/images/products/13.jpg,PC,Fighting
GAMES,DragonBall Xenoverse,"Go Super Saiyan as Dragon Ball makes its return with Dragon Ball Xenoverse. Dragon Ball Xenoverse features improved gameplay giving you a fast paced battle with powerful attacks.  Discover a new world in Dragon Ball Xenoverse featuring a clock that stopped, that has now restarted... A new fighter joins the ongoing fight... But who is he?",1299,100,themes/images/products/14.jpg,PS4,Fighting
GAMES,Tekken Tag Tournament 2,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Bringing the fight for the first time to a Nintendo home console, the legendary Tekken Tag Tournament delivers completely updated features and the most comprehensive Tekken experience to date.
Tekken Tag Tournament 2 delivers new and returning characters in the largest roster ever. Experience the most advanced attack mechanics, ultimate combo move sets and new battle modes. With innovative features to broaden Tekken consumer accessibility, unlimited fighter combinations and multiple ways to challenge your friends, it's time to get ready for the next battle.",162,100,themes/images/products/15.jpg,Wii U,Fighting
GAMES,PlayStation AllStars Battle Royale,,256,100,themes/images/products/16.jpg,PS Vita,Fighting
GAMES,Call of Duty: Black Ops II,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION 

Set in the year 2025, Call of Duty: Black Ops II propels players into global conflict featuring advanced weaponry, robotics, and drone warfare in a new Cold War scenario whose seeds are being sown in today’s headlines.  New graphics technology drives the stunning cinematic action of the single-player campaign’s branching storylines and non-linear missions.

\Hands down, this is the most ambitious Call of Duty ever,\ said Eric Hirshberg, CEO of Activision Publishing. \We are bringing disruptive innovation to the franchise and we are doing it on several fronts. We\'re pushing the boundaries technologically, graphically, and from a narrative and gameplay perspective. At the same time, we need to stay true to the epic realism, authenticity, heart pumping adrenaline, and cinematic action that so many people love and expect from a Call of Duty game. Treyarch\'s vision for Call of Duty: Black Ops II will redefine the Call of Duty franchise for the future--both literally and figuratively.\

“With Call of Duty: Black Ops II, the team is crafting an experience that Call of Duty fans have never seen before,” said Mark Lamia, Studio Head for Treyarch. “We are challenging assumptions on every front, with the single player campaign, Zombies and multiplayer.  In the campaign, we are creating a thought-provoking story that introduces branching storylines and meaningful choices that impact the narrative. Running in the multiplayer engine for the first time, Zombies gives players a bigger and more diverse set of gameplay experiences, as well as entirely new ways to wage war with the undead. And in multiplayer, we’re embracing all skill levels and play styles to give players more ways to engage. With Call of Duty: Black Ops II, we’re all in and we won’t rest until we’ve launched nothing less than the best Call of Duty we’ve ever made.”

Internet Connection Required. 

Pre-order now and get the Nuketown 2025 bonus map plus access to the Call of Duty®: Black Ops II Double XP Launch Weekend. Relive the close quarters chaos of this classic fan-favorite map, reimagined in a visionary depiction of the “Model Home of the Future”. Map included on the disc.",189,100,themes/images/products/17.jpg,PC,Adventure
GAMES,Transformers: Prime,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Help Optimus Prime and the Autobots join forces with human friends Jack, Miko and Raf to save the Earth from Megatron and his new secret weapon. Play as one of your favorite Autobot characters including Bumblebee and Bulkhead as you battle through unique vistas around the world to help defeat the Decepticons. Continue the battle against your friends in Multiplayer Mode with 11 playable characters.",162,100,themes/images/products/18.jpg,Wii U,Adventure
GAMES,New Super Mario Bros,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

The first all-new 2D Mario platformer since Super Mario World has arrived! Boasting incredible 3D graphics to accompany classic 2D gameplay, this fast-paced adventure will have Mario fans cheering as they make their way over fields, under water, through castles, and into the air. 

The power of the DS is used to great effect, and the result is that the Mushroom Kingdom looks more alive than ever. Backgrounds are beautifully layered and every character on screen is presented in gorgeous 3D, with Piranha Plants baring their teeth with wild abandon and Goombas looking almost too cute to stomp on. Just below the surface you will find hundreds of hard-as-nails mini-missions that will force you to reconsider your supposed Super Mario supremacy. 

The real challenge of the game is tracking down its 240 Star Coins, which allow you to open up paths on the eight world maps. Each level hides three of those shiny collectibles, sometimes they're in plain sight but require a special skill in order to be reached. Other times they're cleverly hidden, and sometimes you will need one of the game's special new power-ups to find them. Nostalgic and new in equal doses, New Super Mario Bros. is, quite simply, a gem of a game.",419,100,themes/images/products/19.jpg,NDS,Adventure
GAMES,Injustice: Gods Among Us GOTY Ultimate Edition,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Injustice: Gods Among Us introduces a bold new franchise to the fighting game genre from NetherRealm Studios, creators of the definitive fighting game; Mortal Kombat. Featuring DC Comics icons such Batman, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman. The latest title from the award-winning studio presents a deep original story. Heroes and villains will engage in epic battles on a massive scale in a world where the line between good and evil has been blurred.",377,100,themes/images/products/20.jpg,PS Vita,Adventure
GAMES,Forza Horizon 2,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Race through a massive wide-open world featuring dramatic weather and day-to-night cycles. Instantly connect with friends in the ultimate celebration of speed, style, and action-packed driving. Explore beautiful and exotic locations in more than 200 of the world's greatest cars, all created with precise detail in stunning 1080p.
Features:
Explore a Massive, Living Open World - A world of beauty and freedom awaits.
The next evolution of the best-in-class Forza graphics engine delivers full day and night cycle with spectacular weather, lighting, and visual effects.
An epic road trip career mode adapts to your car choices with hundreds of events across a beautiful and diverse European landscape.
However you like to play, there is an endless variety of free-roam driving fun. Whether you're racing, hunting hidden treasures like exotic barn find cars, or showing off your customized rides at car meet locations spread across the world, the choice is yours.
Action-Packed Driving - Take risks and earn rewards for showing off your driving skills and style.
Smash through fences onto back country dirt trails, plow though fields of crops and dense forests, and discover new shortcuts on your thrilling, high- speed adventures.
Race against aircraft and trains in thrilling Showcase events.
Make your name at the Horizon Festival. Whether you're racing in traffic, catching huge air, or racking up skill points and combos with awesome stunts, your legacy begins here.
Instantly Connect with Friends on Xbox One.
Jump between solo and online play instantly. No lobbies, no waiting.
Join friends online and free roam together, compete in races and team modes, or take part in fun co-op Bucket List challenges.
Join or create your own Car Club of up to 1000 members to expand your network of friends and rule the leaderboards.
In solo play, Drivatar technology fills your world with your friends even when they aren't online.
Your Ultimate Car Fantasy - Drive more than 200 of the world's greatest cars.
A diverse collection of amazing vehicles ranging from extreme off-roaders to modern supercars, classic muscle, and much more.
Every car and truck is recreated in obsessive detail, with full cockpit views, including functional windshield wipers, working headlights, and authentic interiors.
The Horizon Festival invites you to join its celebration of cars, music, freedom, and fun on the world's greatest roads. Get ready for the road trip of your life!",1499,100,themes/images/products/21.jpg,Xbox One,Racing
GAMES,Need for Speed: Rivals,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Need for Speed Rivals captures the adrenaline and intensity of the street's ultimate rivalry between cops and racers in a stunning open road environment. Built on the Frostbite 3 game engine, Need for Speed Rivals allows gamers play as either a cop or racer, where each side of the law has its own set of high stakes challenges, rewards and consequences. As a racer, the goal is to become infamous for taking risks behind the wheel and capturing your most intense escapes on video for the world to see. The more cops players evade, the more Speed Points they collect, enabling them to unlock new cars and items. Keep raising the stakes race after race to become an ever-more valuable target to the cops, but risk losing it all if busted. As a cop, players work together as part of a team in pursuit of racers, earning prominence and rising in the ranks of the Police Force with every bust. Achieving higher ranks unlocks new police-only cars and more powerful pursuit tech. At the heart of Need for Speed Rivals is AllDrive, an innovative new online feature that allows gamers to seamlessly transition from playing alone to playing with friends, eliminating the line between single player and multiplayer. Players will have to keep one eye on their rearview mirror as friends will be able to enter and exit races on-the-fly, creating a world where no two events will ever be the same.",139,100,themes/images/products/22.jpg,PC,Racing
